"ukmo" "cmam" "gembach" "ncep" "ecmwf"
"1001" 191.885 191.4259 191.5605 190.3499 192.1477
"1002" 190.5867 189.4517 190.379 188.6695 188.3967
"1003" 190.4485 190.6399 191.0684 190.4134 189.6597
"1004" 192.5483 191.6376 192.6831 191.4446 190.7733
"1005" 193.0735 193.645 193.9516 192.8147 192.4866
"1006" 193.1689 193.4035 195.0966 192.3709 190.4823
"1007" 197.7731 202.0064 199.3605 197.8557 194.4051
"1008" 208.1756 205.6616 207.655 208.0521 208.9103
"1009" 201.8422 200.4541 203.6118 202.3537 199.9573
"1010" 198.8674 196.0641 199.9342 200.6663 199.1889
"1011" 199.1831 198.9985 199.9468 198.8586 197.2884
"1012" 201.92 201.3019 202.4597 202.043 201.8265
"1013" 204.4497 205.0577 205.6818 205.1075 205.1013
"1014" 207.7742 205.9474 208.8029 207.3989 207.7999
"1015" 204.3422 201.5993 204.4122 203.406 204.2642
"1016" NA 200.7149 203.6066 201.8062 201.1582
"1017" 200.2117 199.4463 200.8035 200.1415 199.5895
"1018" 199.4869 198.3107 200.1898 199.4136 199.0684
"1019" 200.1689 198.0424 201.0065 199.9674 198.9078
"1020" 200.2642 199.896 200.9735 201.0575 200.0663
"1021" 203.5878 202.437 203.5211 203.5865 203.5354
"1022" 209.295 209.6565 209.066 208.8954 208.8041
"1023" 219.9211 222.544 220.1869 219.2263 219.5886
"1024" 227.0209 227.1388 228.79 226.3334 227.2427
"1025" 230.2017 229.5588 232.0377 230.422 230.0483
"1026" 227.3135 227.9999 229.9874 228.2575 226.5863
"1027" 227.4956 229.7118 228.8654 227.9114 227.4941
"1028" 234.1106 238.2716 236.4527 235.0035 233.1379
"1029" 235.7697 234.3754 236.3339 236.2232 235.3624
"1030" 230.8881 232.7384 232.3126 231.1731 231.4457
"1031" 229.8881 232.3634 231.7316 230.1894 230.6572
"1101" 234.25 233.5636 236.0695 234.022 233.859
"1102" 233.7544 232.1132 235.7332 232.4406 232.8791
"1103" 234.0241 232.3455 237.2348 233.8646 234.2601
"1104" 239.1337 235.4272 240.4039 239.0308 238.0879
"1105" 234.5867 232.2773 236.6404 NA 234.1326
"1106" 232.3411 231.8407 234.272 231.6833 232.2066
"1107" 226.5276 225.2377 228.3511 224.8923 226.4987
"1108" 219.0528 218.2027 219.6004 NA 218.8857
"1109" 216.7983 215.3208 217.0104 215.355 216.6166
"1110" 215.2939 215.049 216.7476 214.7919 214.982
"1111" NA 218.633 221.203 219.7322 218.99
"1112" 221.7556 223.5952 223.0498 221.6329 221.1556
"1113" 226.0428 224.2252 227.1481 226.3176 226.2988
"1114" 225.9289 224.7458 226.5172 224.0855 225.1166
"1115" 228.0922 227.6374 228.8293 227.4106 227.6512
"1116" 226.9848 224.1203 228.0154 226.1769 226.7118
"1117" 220.9233 217.7226 221.8794 219.9213 220.6199
"1118" 216.8367 215.5149 218.1118 216.0417 216.4181
"1119" 217.5867 217.516 218.8522 216.9735 217.5323
"1120" 219.5483 218.4723 220.4865 219.4722 219.4198
"1121" 219.5911 218.437 220.4746 219.5031 219.5031
"1122" 219.7983 214.6181 221.2998 219.1124 219.8188
"1123" 211.2061 208.4887 212.8568 210.0679 210.331
"1124" 211.1061 213.8923 212.461 212.3188 211.1751
"1125" 222.3661 223.5961 222.7493 222.909 222.1902
"1126" 226.7017 225.8235 227.0724 226.8728 225.6172
"1127" 225.8453 224.4224 226.5272 225.7966 225.5666
"1128" 224.9956 224.9486 227.1657 225.5771 224.4504
"1129" 224.8453 225.0336 225.9646 225.3154 225.017
"1130" 226.297 226.7855 227.1031 227.0808 226.3713
"1201" 228.24 228.8289 228.8848 229.3982 228.9267
"1202" 229.7017 230.8572 229.9963 229.7143 230.5536
"1203" 231.7456 234.2275 232.2968 232.8445 232.1715
"1204" 236.115 237.0556 235.9251 236.2653 235.1332
"1205" 229.1974 228.8574 229.8475 NA 229.4971
"1206" NA 223.8107 222.9994 NA 223.459
"1207" 225.9956 227.885 225.5736 NA 226.3323
"1208" 227.5252 228.0945 227.3251 NA 226.5248
"1209" 228.7203 230.8714 228.3297 NA 229.1534
"1210" 229.0131 231.2233 228.9251 229.3239 228.2937
"1211" 229.3837 231.7685 229.9026 230.7906 229.6581
"1212" 230.5767 231.8407 230.7585 231.3937 231.3037
"1213" 230.25 231.4465 230.6748 230.7987 229.5588
"1214" 229.7269 231.2579 229.8587 230.3191 229.9188
"1215" 229.8267 231.7186 229.66 229.991 230.0812
"1216" 229.6633 230.7199 229.9611 230.2869 229.1508
"1217" 229.4813 230.3946 229.8359 230.3724 229.9397
"1218" 229.2444 229.6342 228.9485 229.8955 228.8711
"1219" 227.4265 228.8319 228.0463 228.2865 227.4021
"1220" 228.6633 230.0263 229.0375 229.008 228.9723
"1221" 231.2839 233.9978 231.7865 232.2008 231.3607
"1222" 231.0811 229.1188 230.4031 230.5268 229.9784
"1223" 228.6678 229.319 228.7558 229.1133 227.8748
"1224" 228.3398 228.4222 228.739 228.8782 228.2511
"1225" 229.8267 230.0283 230.0294 230.3088 230.3894
"1226" 232.6633 233.004 232.8582 233.6086 232.2666
"1227" 233.3837 234.1391 233.9308 234.3781 234.2902
"1228" 234.5328 232.7501 234.3247 234.4292 234.0797
"1229" 232.0152 230.7999 232.3394 232.5751 231.2701
"1230" 230.6917 229.0956 231.0965 231.1334 231.7789
"1231" 230.3222 228.7373 230.2915 230.6892 230.744
